OrgNumber,Name
937903502,Aasen Sparebank
937890540,Andebu Sparebank
937894082,Arendal og Omegns Sparekasse
937885199,Askim & Spydeberg Sparebank
937885644,Aurskog Sparebank
988257133,Bank2 ASA
937885288,Berg Sparebank
991853995,Bien Sparebank ASA
937893833,Birkenes Sparebank
937902085,Bjugn Sparebank
837886252,Blaker Sparebank
937891601,Drangedal og Tørdal Sparebank
937884494,Eidsberg Sparebank
937888570,Etnedal Sparebank
937894171,Evje og Hornnes Sparebank
985750378,Fornebu Sparebank
937904673,Gildeskål Sparebank
937903146,Grong Sparebank
937886705,Grue Sparebank
837902622,Haltdalen Sparebank
937903235,Hegra Sparebank
937902174,Hemne Sparebank
937893299,Hjartdal og Gransherad Sparebank
937896581,Hjelmeland Sparebank
937885822,Høland og Setskog Sparebank
937889097,Hønefoss Sparebank
982719445,Jernbanepersonalets Sparebank
937895976,Jæren Sparebank
937894805,Kvinesdal Sparebank
937890729,Larvikbanken  - Din Personlige Sparebank
937885911,Lillestrøm Sparebank
937884672,Marker Sparebank
937901291,Melhus Sparebank
937902719,Nidaros Sparebank
937887043,Odal Sparebank
955008863,Ofoten Sparebank
937901569,Opdals Sparebank
947278770,Orkla Sparebank
937900953,Rindal Sparebank
937900775,Romsdal Sparebank
956548888,RørosBanken Røros Sparebank
915691161,Sandnes Sparebank
937901836,Selbu Sparebank
937891245,Skagerrak Sparebank
837889812,Skue Sparebank
837897912,Sogn Sparebank
937902263,Soknedal Sparebank
937905378,Sparebank 68 grader Nord
937891512,Sparebanken DIN
937903979,Sparebanken Narvik
937902352,Stadsbygd Sparebank
937886160,Strømmen Sparebank
937899963,Sunndal Sparebank
937900031,Surnadal Sparebank
937891423,Tinn Sparebank
816793432,Tolga-Os Sparebank
937887787,Totens Sparebank
937885377,Trøgstad Sparebank
937897375,Tysnes Sparebank
937888759,Valdres Sparebank
937893922,Valle Sparebank
817244742,Voss Veksel- og Landmandsbank ASA
937901925,Ørland Sparebank
837900212,Ørskog Sparebank
937894260,Østre Agder Sparebank
937902441,Åfjord Sparebank
